1. Int 2. Strings
Create	RedBlack	145488
Create	BTree	8192
Create	BPlus	507904
Create	AVL	24576
Create	ScapeGoat	24576
Create	BinHeap	8192
Find	RedBlack	865132	0
Find	BTree	865132	0
Find	BPlus	865132	1
Find	AVL	865132	1
Find	ScapeGoat	865132	0
Find	BinHeap	865132	0
Find	RedBlack	865132	0
Find	BTree	873324	0
Find	BPlus	873324	0
Find	AVL	873324	0
Find	ScapeGoat	873324	0
Find	BinHeap	873324	0
Find	RedBlack	873324	0
Find	BTree	873324	0
Find	BPlus	873324	0
Find	AVL	873324	0
Find	ScapeGoat	873324	0
Find	BinHeap	873324	0
Find	RedBlack	873324	0
Find	BTree	873324	0
Find	BPlus	873324	0
Find	AVL	873324	0
Find	ScapeGoat	873324	0
Find	BinHeap	873324	0
Find	RedBlack	873324	0
Find	BTree	873324	0
Find	BPlus	873324	0
Find	AVL	873324	0
Find	ScapeGoat	873324	0
Find	BinHeap	873324	0
Find	RedBlack	873324	0
Find	BTree	873324	0
Find	BPlus	873324	0
Find	AVL	881516	0
Find	ScapeGoat	881516	0
Find	BinHeap	881516	0
Find	RedBlack	881516	0
Find	BTree	881516	0
Find	BPlus	881516	0
Find	AVL	881516	0
Find	ScapeGoat	881516	0
Find	BinHeap	881516	0
Find	RedBlack	881516	0
Find	BTree	881516	0
Find	BPlus	881516	0
Find	AVL	881516	0
Find	ScapeGoat	889708	0
Find	BinHeap	889708	0
Find	RedBlack	889708	0
Find	BTree	889708	0
Find	BPlus	889708	0
Find	AVL	889708	0
Find	ScapeGoat	889708	0
Find	BinHeap	889708	0
Find	RedBlack	889708	0
Find	BTree	889708	0
Find	BPlus	889708	0
Find	AVL	889708	0
Find	ScapeGoat	889708	0
Find	BinHeap	889708	0
1. Int 2. Strings
Create	RedBlack	40960
Create	BTree	8192
Create	BPlus	-780392
Create	AVL	24576
Create	ScapeGoat	24576
Create	BinHeap	8192
Find	RedBlack	625412	0
Find	BTree	633604	0
Find	BPlus	633604	1
Find	AVL	633604	0
Find	ScapeGoat	633604	0
Find	BinHeap	633604	2
Find	RedBlack	633604	0
Find	BTree	633604	0
Find	BPlus	633604	0
Find	AVL	633604	0
Find	ScapeGoat	633604	0
Find	BinHeap	633604	0
Find	RedBlack	633604	0
Find	BTree	633604	0
Find	BPlus	633604	0
Find	AVL	633604	0
Find	ScapeGoat	633604	0
Find	BinHeap	633604	0
Find	RedBlack	633604	0
Find	BTree	641796	0
Find	BPlus	641796	0
Find	AVL	641796	0
Find	ScapeGoat	641796	0
Find	BinHeap	641796	0
Find	RedBlack	641796	0
Find	BTree	641796	0
Find	BPlus	641796	0
Find	AVL	641796	0
Find	ScapeGoat	641796	0
Find	BinHeap	641796	0
Find	RedBlack	641796	0
Find	BTree	641796	0
Find	BPlus	641796	0
Find	AVL	641796	0
Find	ScapeGoat	641796	0
Find	BinHeap	641796	0
Find	RedBlack	641796	0
Find	BTree	641796	0
Find	BPlus	641796	0
Find	AVL	641796	0
Find	ScapeGoat	649988	0
Find	BinHeap	649988	0
Find	RedBlack	649988	0
Find	BTree	649988	0
Find	BPlus	649988	0
Find	AVL	649988	0
Find	ScapeGoat	649988	0
Find	BinHeap	649988	0
Find	RedBlack	649988	0
Find	BTree	649988	0
Find	BPlus	649988	0
Find	AVL	649988	0
Find	ScapeGoat	649988	0
Find	BinHeap	649988	0
Find	RedBlack	649988	0
Find	BTree	649988	0
Find	BPlus	649988	0
Find	AVL	649988	0
Find	ScapeGoat	649988	0
Find	BinHeap	649988	0
